지역,시도,시군구,노인인구수,치매환자수,기관수,총정원,총현원,노인대비_치매비율,노인대비_치매비율(%),정원차이,부족인원,수용률,판단
경상남도 진주시,경상남도,진주시,96574.5,6654.3,192.0,7935.0,7361.0,0.06890328192224655,6.89,1280.6999999999998,-1280.6999999999998,1.19,적당
충청남도 서산시,충청남도,서산시,52268.0,3944.75,97.0,5236.0,4734.0,0.07547160786714624,7.55,1291.25,-1291.25,1.33,적당
전라남도 광양시,전라남도,광양시,37156.5,2433.7,67.0,3936.0,1665.0,0.06549863415553132,6.55,1502.3000000000002,-1502.3000000000002,1.62,적당
경기도 포천시,경기도,포천시,51974.5,3534.93,137.0,5101.0,4225.0,0.06801277549567576,6.8,1566.0700000000002,-1566.0700000000002,1.44,적당
경기도 남양주시,경기도,남양주시,179480.0,11692.210000000001,376.0,13267.0,11461.0,0.06514491865388902,6.51,1574.789999999999,-1574.789999999999,1.13,적당
인천광역시 미추홀구,인천광역시,미추홀구,115594.5,7690.89,209.0,9278.0,8520.0,0.06653335582575295,6.65,1587.1099999999997,-1587.1099999999997,1.21,적당
인천광역시 서구,인천광역시,서구,126759.5,7325.53,241.0,8998.0,7948.0,0.05779077702262946,5.78,1672.4700000000003,-1672.4700000000003,1.23,적당
인천광역시 계양구,인천광역시,계양구,78500.0,4561.51,178.0,6256.0,5587.0,0.058108407643312106,5.81,1694.4899999999998,-1694.4899999999998,1.37,적당
전북특별자치도 익산시,전북특별자치도,익산시,87639.5,6322.2,185.0,8091.0,6871.0,0.07213870457955603,7.21,1768.8000000000002,-1768.8000000000002,1.28,적당
서울특별시 서초구,서울특별시,서초구,90745.0,5992.32,42.0,7895.0,7851.0,0.0660347126563447,6.6,1902.6800000000003,-1902.6800000000003,1.32,적당
광주광역시 광산구,광주광역시,광산구,70882.0,4432.16,151.0,6487.0,5626.0,0.06252870968652126,6.25,2054.84,-2054.84,1.46,적당
경기도 의정부시,경기도,의정부시,121967.0,8008.2,275.0,10257.0,9079.0,0.06565874375855764,6.57,2248.8,-2248.8,1.28,적당
인천광역시 남동구,인천광역시,남동구,130377.5,8055.86,294.0,10626.0,9421.0,0.06178872888343464,6.18,2570.1400000000003,-2570.1400000000003,1.32,적당
경기도 부천시,경기도,부천시,210267.0,12475.43,371.0,15238.0,10403.0,0.05933137391982575,5.93,2762.5699999999997,-2762.5699999999997,1.22,적당
경상남도 양산시,경상남도,양산시,90514.0,5625.45,145.0,9496.0,3991.0,0.06215005413527189,6.22,3870.55,-3870.55,1.69,적당
경기도 양주시,경기도,양주시,68901.5,4589.94,208.0,8497.0,6513.0,0.06661596627069076,6.66,3907.0600000000004,-3907.0600000000004,1.85,적당
서울특별시 노원구,서울특별시,노원구,136371.0,9222.27,148.0,15193.0,4848.0,0.06762632817827838,6.76,5970.73,-5970.73,1.65,적당
경상북도 포항시,경상북도,포항시,305331.0,19209.62,220.0,27544.0,6497.0,0.0629140834045675,6.29,8334.380000000001,-8334.380000000001,1.43,적당
전라남도 여수시,전라남도,여수시,86689.5,6016.540000000001,118.0,14710.0,4343.0,0.0694033302764464,6.94,8693.46,-8693.46,2.44,적당
경기도 김포시,경기도,김포시,105922.5,6787.86,155.0,32371.0,5434.0,0.06408326842738794,6.41,25583.14,-25583.14,4.77,적당
경기도 군포시,경기도,군포시,67461.0,4268.4,125.0,44438.0,3970.0,0.06327211277627073,6.33,40169.6,-40169.6,10.41,적당
전라남도 완도군,전라남도,완도군,21662.0,1873.26,37.0,45356.0,41237.0,0.08647677961407073,8.65,43482.74,-43482.74,24.21,적당
